catalogItemId,catalogCategoryId,catalogCode,catalogNameHu,catalogNameEn,catalogNameDe,catalogUnit,catalogPrice,catalogPriceCurrency,catalogVatRate,catalogTechnicalPrice,svgLayer,hasLayer,hasTechnicalPrice,isFullMouth,isArch,isQuadrant,maxTeethPerArch,allowedTeeth,milkToothOnly,isActive
cat00001,pcat0001,01,"Állapotfelmérés, Státuszfelvétel","Dental examination, Status assessment","Zahnärztliche Untersuchung, Statuserhebung",alkalom,0,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00002,pcat0001,02,Konzultáció és megbeszélés,Consultation and discussion,Beratung und Besprechung,alkalom,0,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00003,pcat0001,03,Kontroll vizsgálat,Follow-up examination,Kontrolluntersuchung,alkalom,0,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00004,pcat0001,04,Éves kontroll vizsgálat,Annual check-up examination,Jährliche Kontrolluntersuchung,alkalom,0,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00005,pcat0001,05,Góckutatás,Focal infection investigation,Herduntersuchung,alkalom,5000,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00006,pcat0001,06,Intraorális röntgenfelvétel,Intraoral X-ray,Intraorale Röntgenaufnahme,db,3000,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00007,pcat0001,07,Panoráma röntgen (OPG),Panoramic X-ray (OPG),Panorama-Röntgen (OPG),db,8000,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00008,pcat0001,08,Teljes CBCT felvétel készítése,Full CBCT scan,Vollständige CBCT-Aufnahme,db,25000,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00009,pcat0001,09,Részleges CBCT felvétel készítése,Partial CBCT scan,Partielle CBCT-Aufnahme,db,15000,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00010,pcat0001,10,Kis CBCT felvétel készítése,Small CBCT scan,Kleine CBCT-Aufnahme,db,13000,HUF,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00011,pcat0002,01,"Trepanálás, Gépi tágítás, Gyógyszeres gyökértömés + ideiglenes fedőtömés","Trepanation, Mechanical enlargement, Medicated root filling + temporary cover filling","Trepanation, Maschinelle Aufbereitung, Medikamentöse Wurzelfüllung + provisorische Deckfüllung",fog,20000,HUF,0,0,endo-medical-filling,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00012,pcat0002,02,Gyógyszeres gyökértömés cseréje + ideiglenes fedőtömés,Medicated root filling replacement + temporary cover filling,Wechsel der medikamentösen Wurzelfüllung + provisorische Deckfüllung,fog,10000,HUF,0,0,endo-medical-filling,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00013,pcat0002,03,Végleges gyökértömés + ideiglenes fedőtömés (1-2 csatorna),Final root canal filling + temporary cover filling (1-2 canals),Definitive Wurzelfüllung + provisorische Deckfüllung (1-2 Kanäle),fog,20000,HUF,0,0,"endo-filling, filling-temporary-[surfaces4]",TRUE,FALSE,FALSE,FALSE,FALSE,,11|12|13|14|15|21|22|23|24|25|31|32|33|34|35|41|42|43|44|45,FALSE,TRUE
cat00014,pcat0002,04,Végleges gyökértömés + ideiglenes fedőtömés (3-4 csatorna),Final root canal filling + temporary cover filling (3-4 canals),Definitive Wurzelfüllung + provisorische Deckfüllung (3-4 Kanäle),fog,30000,HUF,0,0,"endo-filling, filling-temporary-[surfaces4]",TRUE,FALSE,FALSE,FALSE,FALSE,,16|17|18|26|27|28|36|37|38|46|47|48,FALSE,TRUE
cat00015,pcat0002,05,Régi gyökértömés eltávolítása (foganként),Removal of old root canal filling (per tooth),Entfernung alter Wurzelfüllung (pro Zahn),fog,15000,HUF,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00016,pcat0002,06,Csonk felépítése tömőanyaggal,Core build-up with filling material,Stumpfaufbau mit Füllungsmaterial,fog,8000,HUF,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00017,pcat0002,07,"Gyökércsap behelyezése (direkt, üvegszálas megerősítésű)","Root post placement (direct, fiberglass-reinforced)","Wurzelstift-Einsetzen (direkt, glasfaserverstärkt)",db,20000,HUF,0,0,endo-glass-pin,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00018,pcat0002,08,"Gyökércsap behelyezése öntött (indirekt, technikusi fémcsap)","Root post placement cast (indirect, lab-made metal post)","Wurzelstift-Einsetzen gegossen (indirekt, laborgefertigter Metallstift)",db,20000,HUF,0,6000,endo-metal-pin,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00019,pcat0002,09,Gyökérkezelt fog fehérítése (alkalmanként),Bleaching of root canal treated tooth (per session),Bleaching eines wurzelbehandelten Zahns (pro Sitzung),fog,8000,HUF,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00020,pcat0002,10,Parapulpális csap behelyezése,Parapulpal pin placement,Parapulpaler Stift-Einsetzen,db,8000,HUF,0,0,parapulpal-pin,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE
cat00021,pcat0003,01,"Beszoktatás, ismerkedés a rendelővel","Familiarization, getting to know the dental office","Eingewöhnung, Kennenlernen der Praxis",alkalom,5000,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
cat00022,pcat0003,02,"Tejfog tömés ideiglenes tömőanyaggal (Citodur, Fermin)","Deciduous tooth filling with temporary material (Citodur, Fermin)","Milchzahnfüllung mit provisorischem Füllungsmaterial (Citodur, Fermin)",fog,10000,HUF,0,0,filling-temporary-[surfaces4],TRUE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE
cat00023,pcat0003,03,Tejfog tömés hosszú távon (üvegionomer),Deciduous tooth filling long-term (glass ionomer),Milchzahnfüllung langfristig (Glasionomer),fog,15000,HUF,0,0,filling-gic-[surfaces4],TRUE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE
cat00024,pcat0003,04,Plakkfestés és szájhigiénia oktatás,Plaque staining and oral hygiene instruction,Plaqueanfärbung und Mundhygiene-Unterweisung,alkalom,5000,HUF,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,,,FALSE,TRUE
